review_text_processed,polarity
"['perfeitocheg', 'antes', 'praz']",1.0
"['otim', 'compr', 'cheg', 'antes', 'praz', 'produt', 'igual', 'anunci', 'correspond', 'expect']",1.0
"['receb', 'rap', 'otim', 'cust', 'benefici']",1.0
['recom'],1.0
"['so', 'vei', 'cap', 'compr', 'ai', 'pagu', 'rea', 'cap']",0.0
"['tud', 'conform', 'combin']",1.0
"['tud', 'ok']",1.0
"['boa', 'gost', 'obrig']",1.0
"['tud', 'dentr', 'normal', 'nad', 'excepcional']",1.0
"['compr', 'relogi', 'original', 'alem', 'vir', 'falsific', 'vei', 'defeit', 'nao', 'funcion', 'aind', 'cobr', 'garant', 'estend']",0.0
"['produt', 'cheg', 'perfeit', 'estad', 'bem', 'embal', 'proteg']",1.0
"['produt', 'vei', 'manua', 'ensin', 'mont']",0.0
['bom'],1.0
"['loj', 'arom', 'compr', 'produt', 'escelent']",1.0
"['sucess', 'compr', 'ame', 'produt']",1.0
"['apes', 'const', 'entreg', 'histor', 'ped', 'nad', 'entreg']",0.0
"['compr', 'dois', 'arranh', 'soment', 'entreg']",0.0
"['cheg', 'bem', 'antes', 'temp', 'otim', 'condico']",1.0
"['ate', 'moment', 'nao', 'receb', 'produt']",0.0
"['receb', 'produt', 'ate', 'age', 'hoj', 'nao', 'receb', 'nao', 'sei', 'motiv']",0.0
"['otim', 'vendedor']",1.0
"['entreg', 'antes', 'praz']",1.0
"['entreg', 'demor', 'dentr', 'praz', 'mochil', 'nao', 'esperavapor', 'marc', 'ache', 'simpl', 'nao', 'gost', 'pouc', 'produt']",0.0
"['produt', 'cheg', 'risc', 'manch']",0.0
"['cheg', 'antes', 'praz', 'final', 'bom']",1.0
"['entreg', 'praz', 'incrivel', 'compr', 'sab', 'segund', 'cas', 'surpreendent', 'parabens', 'recom', 'tod']",1.0
"['obrig', 'cheg', 'mto', 'rap']",1.0
"['so', 'receb', 'falt', 'dois', 'jog', 'aind']",0.0
"['recom', 'bom', 'produt', 'cheg', 'antes', 'praz', 'estabelec']",1.0
"['produt', 'cheg', 'antes', 'praz']",1.0
"['recom', 'bom', 'satisfeit']",1.0
"['produt', 'correspond', 'descrit', 'otim']",1.0
"['infeliz', 'aind', 'nao', 'receb', 'mercador']",0.0
"['excelent', 'produt', 'cheg', 'antes', 'imagin']",1.0
"['acredit', 'problem', 'correi']",0.0
"['otim', 'produt', 'entreg', 'dentr', 'praz']",1.0
"['carrinh', 'nao', 'entreg', 'so', 'bonec', 'qdo', 'bem']",0.0
"['otim', 'produt']",1.0
"['bom', 'esper', 'result']",0.0
['recom'],1.0
"['sup', 'recom', 'entregr', 'temp', 'cert']",1.0
"['produt', 'excelent', 'fiqu', 'satisfeit']",1.0
"['receb', 'tud', 'cert', 'entreg', 'antes', 'praz']",1.0
"['tud', 'corret', 'acompanh', 'entreg', 'servic', 'eficient']",1.0
"['produt', 'desproporcional', 'pessim', 'qualidad', 'nao', 'acredit', 'instituica', 'nom', 'dess', 'queim', 'tao', 'pouc', 'so', 'nao', 'entro', 'ped', 'devoluca', 'pra', 'evit', 'desg']",0.0
"['entreg', 'praz']",1.0
"['entreg', 'rap', 'ate', 'antes', 'praz', 'estipul']",1.0
"['produt', 'cheg', 'praz', 'corret']",1.0
"['venh', 'express', 'grand', 'insatisfaca', 'loj', 'vendedor', 'produt', 'compr', 'produt', 'mes', 'nao', 'receb', 'fic', 'entrar', 'contat', 'comig', 'nao', 'respond']",0.0
"['excelent', 'compr', 'pagament', 'bolet', 'bancari', 'entreg', 'obrig']",1.0
"['entreg', 'praz', 'produt', 'corret', 'perfeit']",1.0
"['otim', 'anted', 'sempr']",1.0
"['entreg', 'bem', 'antes', 'praz']",1.0
"['produt', 'cheg', 'antes', 'esper', 'boa', 'qualidad', 'sup', 'gost']",1.0
"['lumin', 'bonit', 'possu', 'boa', 'vedaca', 'contr', 'chuv', 'inset', 'agor', 'so', 'falt', 'instal', 'are', 'tornal', 'bonit', 'grac', 'aderec']",1.0
"['compr', 'bat', 'v', 'xb', 'receb', 'xb', 'al', 'amperag', 'menor', 'efet', 'compr']",0.0
"['compr', 'produt', 'nao', 'entreg', 'tod', 'vez', 'entro', 'contat', 'garant', 'retorn', 'hor', 'dia', 'nunc', 'retorn', 'entreg', 'ja', 'dias', 'atras']",0.0
['otim'],1.0
"['rap', 'entreg']",1.0
"['otim', 'praz', 'entreg']",1.0
"['produt', 'nao', 'cheg', 'codig', 'rasteador', 'poss', 'verific', 'status', 'entreg', 'praz', 'ja', 'pass', 'nad']",0.0
"['bonit', 'satisfeit', 'material']",1.0
"['mit', 'boa', 'caix', 'som', 'super', 'expect', 'recom']",1.0
"['receb', 'praz', 'mercador', 'defeit']",1.0
['aguard'],0.0
"['infeliz', 'tent', 'entrar', 'contat', 'central', 'atend', 'nao', 'consig', 'nao', 'receb', 'produt', 'tamb', 'nao', 'nenhum', 'retorn', 'status']",0.0
"['dev', 'grev', 'caminhoneir', 'produt', 'aind', 'nao', 'entreg']",1.0
"['realiz', 'compr', 'colch', 'solteir', 'so', 'receb', 'produt', 'ate', 'agor', 'nao', 'receb', 'outr', 'colch']",0.0
"['gost', 'produt']",1.0
"['gost', 'compr', 'indic']",1.0
"['nov', 'lacr', 'otim', 'atend', 'recom']",1.0
"['nao', 'receb', 'espremedor']",1.0
"['sup', 'recom']",1.0
"['produt', 'entreg', 'antes', 'dat']",1.0
"['tud', 'cert', 'entreg', 'produt', 'boa', 'qualidad']",1.0
"['continu', 'assim']",1.0
"['incrivel', 'trabalh', 'feit', 'produt', 'entreg', 'rap', 'seman', 'ja', 'cas', 'recom', 'tod', 'val', 'pen']",1.0
"['produt', 'conform', 'anunci', 'cheg', 'antes', 'praz']",1.0
"['nao', 'receb', 'peodut']",0.0
"['praz', 'entreg', 'determin', 'lj', 'mto', 'grand']",1.0
"['solicit', 'reenvi', 'mercador', 'outr', 'enderec', 'ja', 'entre', 'contat', 'telefon', 'pass', 'dad', 'dia', 'esper', 'atend', 'solicitaca']",0.0
['bom'],1.0
"['produt', 'nao', 'cheg', 'pod', 'obrigatori', 'preenchiment', 'avaliaca', 'geral', 'recom', 'loj', 'piad', 'ne']",0.0
"['esta', 'parabens', 'atend']",1.0
"['produt', 'bom', 'mercador', 'receb', 'escolh', 'recom']",1.0
"['entreg', 'praz']",1.0
"['produt', 'excelent', 'entreg', 'feit', 'muiiiit', 'antes', 'praz']",1.0
"['produt', 'vei', 'defeit', 'esper', 'nao', 'demor', 'troc', 'pois', 'compr', 'present']",0.0
"['compr', 'duas', 'unidad', 'embalag', 'vei', 'apen', 'quer', 'sab', 'pois', 'pagu', 'dois', 'receb', 'apen']",0.0
"['compr', 'dois', 'rol', 'cab', 'mm', 'verd', 'outr', 'azul', 'receb', 'apen', 'rol', 'cab', 'verd', 'continu', 'aguard', 'entreg', 'outr']",1.0
"['excelent', 'loj', 'sempr', 'poss', 'fac', 'compr', 'aqu']",1.0
"['compr', 'plafons', 'led', 'ral', 'inteligent', 'lumin', 'ral', 'vei', 'quebr', 'compromet', 'funcional', 'lumin', 'simples', 'nao', 'entregu', 'ate', 'agor', 'nad']",0.0
"['excelent', 'produt']",1.0
"['recom', 'pra', 'tod']",1.0
"['boa', 'recom']",1.0
"['tud', 'dentr', 'praz', 'estabelec']",1.0
"['tud', 'otim', 'reclamaco', 'obrig']",1.0
"['insatisfeita', 'produt', 'entreg', 'nao', 'ped', 'propagand', 'enganosadecepcion', 'parceir', 'sit', 'stark', 'tent', 'resolv', 'email', 'ate', 'agor', 'nao', 'obtiv', 'respost']",0.0
